"game_date","game_id","location_team","period","stint","team","opp","lineup_team","lineup_opp","secs_game_start","secs_game_end","secs_played","poss_team","pts_team","poss_opp","pts_opp"
2024-06-30,1022400106,"away",1,2,"ATL","NYL","1628269 Nia Coffey, 1628277 Allisha Gray, 1628886 Jordin Canada, 1630471 Maya Caldwell, 202250 Tina Charles","1627668 Breanna Stewart, 1629568 Kennedy Burke, 202664 Courtney Vandersloot, 203866 Kayla Thornton, 204335 Betnijah Laney-Hamilton",261,369,108,3,6,4,4
2024-06-30,1022400106,"home",1,3,"NYL","ATL","1627668 Breanna Stewart, 1629477 Sabrina Ionescu, 1629568 Kennedy Burke, 1630142 Leonie Fiebich, 203866 Kayla Thornton","1628277 Allisha Gray, 1628886 Jordin Canada, 1630471 Maya Caldwell, 1631044 Naz Hillmon, 204323 Cheyenne Parker-Tyus",369,467,98,3,2,3,5
2024-06-30,1022400106,"away",1,3,"ATL","NYL","1628277 Allisha Gray, 1628886 Jordin Canada, 1630471 Maya Caldwell, 1631044 Naz Hillmon, 204323 Cheyenne Parker-Tyus","1627668 Breanna Stewart, 1629477 Sabrina Ionescu, 1629568 Kennedy Burke, 1630142 Leonie Fiebich, 203866 Kayla Thornton",369,467,98,3,5,3,2
2024-06-30,1022400106,"home",1,4,"NYL","ATL","1627673 Jonquel Jones, 1629477 Sabrina Ionescu, 1629568 Kennedy Burke, 1630142 Leonie Fiebich, 203866 Kayla Thornton","1628277 Allisha Gray, 1630471 Maya Caldwell, 1631044 Naz Hillmon, 1641650 Haley Jones, 204323 Cheyenne Parker-Tyus",467,507,40,0,0,1,3
2024-06-30,1022400106,"away",1,4,"ATL","NYL","1628277 Allisha Gray, 1630471 Maya Caldwell, 1631044 Naz Hillmon, 1641650 Haley Jones, 204323 Cheyenne Parker-Tyus","1627673 Jonquel Jones, 1629477 Sabrina Ionescu, 1629568 Kennedy Burke, 1630142 Leonie Fiebich, 203866 Kayla Thornton",467,507,40,1,3,0,0
2024-06-30,1022400106,"home",1,5,"NYL","ATL","1627673 Jonquel Jones, 1629477 Sabrina Ionescu, 1629568 Kennedy Burke, 1630142 Leonie Fiebich, 203866 Kayla Thornton","1628886 Jordin Canada, 1630471 Maya Caldwell, 1631044 Naz Hillmon, 1641650 Haley Jones, 204323 Cheyenne Parker-Tyus",507,572.8,65.8,2,3,2,2
2024-06-30,1022400106,"away",1,5,"ATL","NYL","1628886 Jordin Canada, 1630471 Maya Caldwell, 1631044 Naz Hillmon, 1641650 Haley Jones, 204323 Cheyenne Parker-Tyus","1627673 Jonquel Jones, 1629477 Sabrina Ionescu, 1629568 Kennedy Burke, 1630142 Leonie Fiebich, 203866 Kayla Thornton",507,572.8,65.8,2,2,2,3
2024-06-30,1022400106,"home",1,6,"NYL","ATL","1627668 Breanna Stewart, 1627673 Jonquel Jones, 1629477 Sabrina Ionescu, 1630142 Leonie Fiebich, 202664 Courtney Vandersloot","1628886 Jordin Canada, 1630471 Maya Caldwell, 1631044 Naz Hillmon, 1641650 Haley Jones, 204323 Cheyenne Parker-Tyus",572.8,600,27.2,1,0,1,0
2024-06-30,1022400106,"away",1,6,"ATL","NYL","1628886 Jordin Canada, 1630471 Maya Caldwell, 1631044 Naz Hillmon, 1641650 Haley Jones, 204323 Cheyenne Parker-Tyus","1627668 Breanna Stewart, 1627673 Jonquel Jones, 1629477 Sabrina Ionescu, 1630142 Leonie Fiebich, 202664 Courtney Vandersloot",572.8,600,27.2,1,0,1,0
2024-06-30,1022400106,"home",2,1,"NYL","ATL","1627668 Breanna Stewart, 1627673 Jonquel Jones, 1629477 Sabrina Ionescu, 1630142 Leonie Fiebich, 202664 Courtney Vandersloot","1628886 Jordin Canada, 1630471 Maya Caldwell, 1631044 Naz Hillmon, 1641650 Haley Jones, 204323 Cheyenne Parker-Tyus",600,673,73,2,0,2,2
